Title,Artist,Description,Themes
Finding Frida,Hilde K. Kjøs,"Finding Frida is a documentary VR experience where past and present intertwine in an exploration of art, family and the power of human creativity. Photorealistic 3D scans, dreamlike projections and animated artwork blend with a soundscape of reworked foley and an original musical score. Voice-over drawn from interviews with Frida Hansen and contemporary historical sources seeks authenticity within a dreamlike world while shedding new light on a forgotten female artist. Central to the work is the value of role models, and how VR allows resonance to travel back and forth through time."
Historically Yours,Lina Harder,
From Ingrid to Bergen,Pedro Velho,
Your Update Has Failed,Sérgio Galvão Roxo,
The Grand Hotel Bald Cockatoo ,Scott Rettberg;Caitlin Fisher;Roderick Coover,
Glass Like Fabric ,Jason Nelson,
Between Page and Screen ,Amaranth Borsuk;Brad Bouse,"An unlikely marriage of print and digital, Between Page and Screen chronicles a love affair between two characters, P and S. The book has no words, only inscrutable black and white geometric patterns that, when coupled with a webcam, conjure the written word. Reflected on screen, the reader sees him or herself with open book in hand, language springing alive and shape-shifting with each turn of the page. The story unfolds through a playful and cryptic exchange of letters between P and S as they struggle to define their relationship. Rich with innuendo, anagrams, etymological and sonic affinities between words, Between Page and Screen revels in language and the act of reading."
Bybanen Slop Surfer,Colin Richard Robinson,
Emperor,Marion Burger;Ilan Cohen,"Emperor, an interactive and narrative experience which invites us to travel inside the brain of a father, suffering from aphasia. Alongside his daughter, we journey into the father’s mental space – imagined as a hand-drawn, monochrome landscape – as she seeks to learn more about his inner self, now obscured by illness."
The Grand Hotel Galactic Center,Scott Robert Rettberg,
Her Name Was Gisberta,Sérgio Galvão Roxo,"“Her Name Was Gisberta” is a VR/2D documentary that portrays the life and death of Gisberta Salce, a Brazilian Trans woman murdered by 14 young men (12 - 16 years old) in the city of Porto (Portugal) in 2006. Uniting the knowledge provided by Virtual Reality Perspective-Taking Tasks, this project was created as a tool of education, social intervention and activism against transphobia."
Missing 10 Hours,Fanni Fazakas,"M10H, a pioneering narrative VR venture led by Fanni Fazakas, in collaboration with survivors of substance abuse. Users assume the role of the bystander, influencing the storyline's trajectory. Ethically designed with expert guidance, players navigate tough choices—rescuing a young woman named Mara or succumbing to the role of the perpetrator. The multiplayer element adds a dynamic twist, amplifying the impact of every decision. Welcome to Missing 10 Hours, a night-time party where having the most fun is the ultimate goal, regardless of the consequences. At least, that's what Greg believes. From excessive drinking through invading women's privacy in the restroom to an abrupt police arrest, anything goes in this night of revelry. Dive into a journey of challenges and tough decisions leading to a shocking revelation. "
Goliath,Anagram,"Through mind-bending animation, GOLIATH: PLAYING WITH REALITY explores the limits of reality and a true story of so-called ‘schizophrenia’ and the power of gaming communities. Echo (Tilda Swinton) guides you through the many realities of Goliath, a man who spent years isolated in psychiatric institutions but finds connection in multiplayer games. Combining heartfelt dialogue, mesmerising visuals and symbolic interactions, weave through multiple worlds to uncover Goliath’s poignant story."
